BALL,"1/4""",1000,WE,FULL PORT,WRENCH,4'
THREADED BALL,"3/8""",1500,RFFE,REDUCED PORT,GEAR,"4'-6"""
CHECK,"1/2""",2000,RLTFE,,AUTOMATIC,5'
GATE ,"3/4""",2500,TE,,SQUARE,"5'-6"""
PLUG,"1""",3000,SW,,,6'
,"1.5""",150,WE X RFFE,,,"6'-6"""
,"2""",300,WE X RLTFE,,,7'
,"3""",400,WE X TE,,,"7'-6"""
,"4""",600,WE X SW,,,8'
,"5""",900,RFFE X WE,,,"8'-6"""
,"6""",1500,RFFE X RLTFE,,,9'
,"8""",2500,RFFE X TE,,,"9'-6"""
,"10""",,RFFE X SW,,,10'
,"12""",,RLTFE X WE,,,"10'-6"""
,"14""",,RLTFE X RFFE,,,11'
,"16""",,RLTFE X TE,,,"11'-6"""
,"18""",,RLTFE X SW,,,12'
,"20""",,TE X WE,,,"12'-6"""
,"22""",,TE X RFFE,,,13'
,"24""",,TE X RLTFE,,,"13'-6"""
,"26""",,TE X SW,,,14'
,"28""",,,,,"14'-6"""
,"30""",,,,,15'
,"32""",,,,,"15'-6"""
,"34""",,,,,16'
,"36""",,,,,
,"40""",,,,,
,"42""",,,,,
,"46""",,,,,
,"48""",,,,,
,"56""",,,,,
,"60""",,,,,
